"PC","var_explained","cum_var"
73,0.00419875419656425,0.807664007021148
74,0.00415040920071145,0.811814416221859
75,0.00410426206856114,0.81591867829042
76,0.00403069478104789,0.819949373071468
77,0.00401204415138106,0.823961417222849
78,0.0039997561780742,0.827961173400923
79,0.00395319672502057,0.831914370125944
80,0.00385675126581852,0.835771121391763
81,0.00380549660995006,0.839576618001713
82,0.003734890706223,0.843311508707936
83,0.00371261127386334,0.847024119981799
84,0.00360849903572871,0.850632619017528
85,0.00359598793308606,0.854228606950614
86,0.00358560850950127,0.857814215460115
87,0.00348212997467887,0.861296345434794
88,0.00344725864258856,0.864743604077382
89,0.00341572946646023,0.868159333543843
90,0.003286207706376,0.871445541250219
91,0.00324959317443095,0.87469513442465
92,0.00317789656850772,0.877873030993157
93,0.0031540649091261,0.881027095902283
94,0.00310725691243617,0.88413435281472
95,0.00302176645273895,0.887156119267459
96,0.00291940185496471,0.890075521122423
97,0.0028657653549818,0.892941286477405
98,0.00279496073315063,0.895736247210556
99,0.00274594619423156,0.898482193404787
100,0.00269090415595509,0.901173097560742
101,0.00260960208623733,0.90378269964698
102,0.00256528113498976,0.906347980781969
103,0.00254675983470887,0.908894740616678
104,0.00249830246173223,0.911393043078411
105,0.00246626751705921,0.91385931059547
106,0.00238861207938855,0.916247922674858
107,0.00236008195291199,0.91860800462777
108,0.00228804875349186,0.920896053381262
109,0.0022276694709244,0.923123722852186
110,0.00219636256471968,0.925320085416906
111,0.00215836012337182,0.927478445540278
112,0.00209689855608046,0.929575344096358
113,0.00203792211216027,0.931613266208519
114,0.00199325626530131,0.93360652247382
115,0.00198144666789479,0.935587969141715
116,0.001955265858985,0.9375432350007
117,0.00191755728304177,0.939460792283742
118,0.00187638843596527,0.941337180719707
119,0.00183352636290606,0.943170707082613
120,0.00180232813974723,0.94497303522236
121,0.0017738769118441,0.946746912134204
122,0.00175497088841939,0.948501883022624
123,0.00174265921957406,0.950244542242198
124,0.00165671480675923,0.951901257048957
125,0.00163559321577012,0.953536850264727
126,0.00158705810400319,0.95512390836873
127,0.00149755959633956,0.95662146796507
128,0.00142966223013487,0.958051130195205
129,0.00141315965179415,0.959464289846999
130,0.00135424613683088,0.96081853598383
131,0.00134364051153238,0.962162176495362
132,0.00129796378317829,0.96346014027854
133,0.00124377336729606,0.964703913645836
134,0.00119162864348651,0.965895542289323
135,0.00117034844626138,0.967065890735584
136,0.00112178627025935,0.968187677005844
137,0.00110280999600938,0.969290487001853
138,0.00106813492819437,0.970358621930047
139,0.00103209398789816,0.971390715917946
140,0.00101076181418986,0.972401477732135
141,0.000974815100010796,0.973376292832146
142,0.000959706277294619,0.974335999109441
143,0.00092304113099928,0.97525904024044
144,0.000891113939501661,0.976150154179942
145,0.00081990068328015,0.976970054863222
146,0.000796029106202316,0.977766083969424
147,0.000731053659496589,0.978497137628921
148,0.0007072459400897,0.979204383569011
149,0.000687857740758533,0.979892241309769
150,0.000640114982247297,0.980532356292016
151,0.000628549386381643,0.981160905678398
152,0.000564984126394024,0.981725889804792
153,0.000553344860455889,0.982279234665248
154,0.000530698329768876,0.982809932995017
155,0.000514048535484555,0.983323981530501
156,0.000493942651713791,0.983817924182215
157,0.000483611827811436,0.984301536010027
158,0.000473155078319214,0.984774691088346
159,0.00045517710637569,0.985229868194721
160,0.000434099751989062,0.985663967946711
161,0.000426690826916374,0.986090658773627
162,0.000413790548507875,0.986504449322135
163,0.000399583050826219,0.986904032372961
164,0.000388463810512614,0.987292496183474
165,0.000377098920920319,0.987669595104394
166,0.000375111870723463,0.988044706975117
167,0.000370962991137312,0.988415669966255
168,0.000365951980048869,0.988781621946304
169,0.000360024301848286,0.989141646248152
170,0.000344458881842376,0.989486105129994
171,0.000335022717409561,0.989821127847404
