"","Estimate","Std. Error","t value","Pr(>|t|)"
"PC77",0.0282970682721584,0.0132415243762501,2.13699476496164,0.0326138374224791
"PC78",0.0115717997449296,0.0132868831404322,0.87091905773721,0.383811676831165
"PC79",-0.0230280404186273,0.0133332314800365,-1.72711622483316,0.0841664757394683
"PC80",0.00224124152002121,0.0134998072713223,0.16602026051011,0.868143145258472
"PC81",0.0848299928215642,0.0135908839964851,6.24168323734519,4.44011453509732e-10
"PC82",0.0325840027296396,0.0137184640383199,2.37519321686615,0.0175517137365835
"PC83",0.034372670965963,0.0137614832371612,2.49774463795762,0.0125087786159661
"PC84",0.217428587793889,0.0139565295929413,15.5789866202739,2.58102155983181e-54
"PC85",0.125286042990571,0.0140116471399569,8.94156423860358,4.25773986007955e-19
"PC86",0.0411604708804878,0.0140021283343105,2.93958674693968,0.00329129424622174
"PC87",0.0696191433824245,0.0142153679900678,4.89745629033782,9.80521384533698e-07
"PC88",-0.0769634433776596,0.0142782292318292,-5.39026528626476,7.1370527334487e-08
"PC89",0.120804857408041,0.0143443449373045,8.4217758242742,4.0257554894405e-17
"PC90",-0.0142956462340243,0.0146377014171434,-0.976631905968621,0.328766476687584
"PC91",-0.0758837719650545,0.0147265884417783,-5.1528412208341,2.59680931960614e-07
"PC92",0.0668509032113784,0.0148781327853405,4.49323205914972,7.06516322343715e-06
"PC93",-0.0305918335427067,0.0149276390274933,-2.04934172687077,0.040445305264429
"PC94",0.0101822205113277,0.0150452210439291,0.676774404417032,0.498559078591108
"PC95",0.0273689379831039,0.0152510879692837,1.79455643021835,0.0727436453343074
"PC96",0.0280374233132588,0.0155182267579393,1.80674143705978,0.070821756026677
"PC97",-0.0426778099617325,0.0156631035473699,-2.72473522457808,0.00644243789521816
"PC98",0.113974850964083,0.0158825257195345,7.17611625359441,7.49301513483608e-13
"PC99",-0.0312813146808386,0.0160024363609836,-1.95478450750832,0.0506262449082156
"PC100",-0.010881794742872,0.0161773321104923,-0.672656941734802,0.501175474125762
"year_dummy",0.687412620688206,0.069305775385758,9.91854743507373,4.04405012811308e-23
