"n_covariates","rep","fold","RMSE","MAE","R2"
30,1,1,1.90627607951458,1.41826894540325,0.791722088501604
30,1,2,1.98944326001295,1.49731714031506,0.768442433069635
30,1,3,1.83839241365653,1.38258076964494,0.792781017570902
30,1,4,1.95592569889782,1.44851812526173,0.792683765105533
30,1,5,1.89961734785921,1.41891197879552,0.794266915471266
30,2,1,1.89611023929171,1.43360467789945,0.794138527281251
30,2,2,1.90586396868261,1.43298125288924,0.790619276107151
30,2,3,1.86109666298742,1.39990729628111,0.800286815259582
30,2,4,1.97129975096528,1.45972399851447,0.780306976089068
30,2,5,1.9435116540327,1.43225441386651,0.777896458388734
30,3,1,1.86757978728461,1.4023051229139,0.798594251587567
30,3,2,1.88663568480455,1.39462652386273,0.787327844503711
30,3,3,1.89935108627159,1.43121925699706,0.798157142129921
30,3,4,1.95851278903162,1.47059882892172,0.782007320210521
30,3,5,1.97230953864781,1.46326068264366,0.776017063213712
30,4,1,1.84844312946365,1.38858687268194,0.794768650222193
30,4,2,1.96623258544168,1.44701365760163,0.774380531696713
30,4,3,1.93271764556142,1.45085699980572,0.786512872540344
30,4,4,1.94603428326339,1.45528022186073,0.777803680763156
30,4,5,1.88695524774286,1.41794092801541,0.808054217776486
30,5,1,1.86810228243878,1.41104381723749,0.795208818096638
30,5,2,1.92955252646944,1.42759893254953,0.788394996079568
30,5,3,1.94254117579407,1.45675229749523,0.78475931319593
30,5,4,1.93501383795014,1.42507119058439,0.781446423824286
30,5,5,1.91495242011653,1.4429937691246,0.791723049471343
157,1,1,1.86775882724591,1.40327743154471,0.800053773239599
157,1,2,1.94350503927728,1.4690745107058,0.779012756366669
157,1,3,1.79373582342165,1.35619716736244,0.802725904076162
157,1,4,1.87291708872647,1.39919933991213,0.80990718082089
157,1,5,1.85094181348314,1.39175550623085,0.804675187440307
157,2,1,1.86376639086809,1.41580740040755,0.801101796659409
157,2,2,1.85585855103638,1.39405087320364,0.801462457266884
157,2,3,1.83037067051158,1.38832757101529,0.806826756192228
157,2,4,1.91091672656637,1.42898217811658,0.793559711969443
157,2,5,1.87648534505338,1.39915964672965,0.792951761767377
157,3,1,1.80557253091867,1.37928874175077,0.8117463480503
157,3,2,1.84496601702289,1.37226256081356,0.796618575034689
157,3,3,1.85004423845078,1.39950836075476,0.808500733621883
157,3,4,1.90592050465671,1.43475913172468,0.793557717875826
157,3,5,1.92408132560038,1.43687786793321,0.786837093380397
157,4,1,1.79040364957045,1.3633709662997,0.807454477555984
157,4,2,1.90454733274065,1.41527827902531,0.788314878669997
157,4,3,1.88345180796186,1.4154350134697,0.797257921334665
157,4,4,1.91378195704099,1.4334188891292,0.78510772776937
157,4,5,1.84890729334827,1.39615373684394,0.815716842799749
157,5,1,1.82658749326733,1.39173722864757,0.804209818182089
157,5,2,1.85946458767995,1.38356274123571,0.803488239538911
157,5,3,1.88088312442724,1.4162152944737,0.798206337626372
157,5,4,1.91185996399662,1.42779999159729,0.786645442422043
157,5,5,1.85960961452845,1.40351636278727,0.803587646000171
